State,LGA,ward_name,polling_unit_code,polling_unit_name,Accredited_Voters,Registered_Voters,Results_Found,APC,LP,PDP,NNPP,location.latitude,location.longitude
AKWA IBOM,NSIT ATAI,EASTERN NSIT 111,03-19-03-007,"VILLAGE SQUARE, IKOT OTU",162,420,True,51,6,78,0,,
AKWA IBOM,UKANAFUN,"SOUTHERN AFAHA, ADAT IFANG 1V",03-28-11-001,"VILLAGE SQUARE, B/W ODORO IKOT/AFAHA IDUNG AKPAN UKO",191,940,True,94,3,76,12,,
AKWA IBOM,URUE OFFONG/ORUKO,URUE OFFONG 111,03-30-03-001,"VILLAGE HALL, IBOTONG NSIE",105,659,True,25,4,66,0,,
AKWA IBOM,URUE OFFONG/ORUKO,URUE OFFONG 111,03-30-03-007,"VILLAGE SQUARE, IBOTONG EWEME",162,777,True,39,38,64,2,,
AKWA IBOM,UYO,OKU 11,03-31-11-009,"OPEN SPACE NEAR FORMER MAGISTRATE COURT, IKOT EKPENE RD",152,764,True,20,74,32,1,,
AKWA IBOM,EKET,CENTRAL 1,03-03-05-010,"VILLAGE HALL ATAIDUNG EDE URUA, BY QUA IBOE CHURCH, EDE URUA.",149,197,True,0,0,0,0,,
AKWA IBOM,EKET,CENTRAL 1V,03-03-08-007,"TOWN HALL, IDUNG AKPAN, EFFOI, OPPOSITE A.M.E ZION CHURCH.",206,406,True,62,64,52,0,,
AKWA IBOM,EKET,CENTRAL 1V,03-03-08-010,"TOWN HALL, IDUNG ABIAMAH, ABIAMAH STREET, OFF SALVATION ARMY ROAD.",96,154,True,13,31,29,1,,
AKWA IBOM,EKET,OKON 1,03-03-10-009,"VILLAGE SQUARE, NUNG ADIAHA MKPENG, OPPOSITE MOUNT ZION GOSPEL CHURCH,",192,526,True,15,41,104,1,,
AKWA IBOM,EKET,URBAN 1,03-03-01-011,"OPEN SPACE ENEN ABIA ROAD BY IKOT INYANG JUNCTION, IKOT ABIA",140,407,True,14,43,67,3,,
AKWA IBOM,EKET,URBAN 111,03-03-03-009,A.M.E ZION PRIMARY SCH.USUNG INYANG BESIDE THE CHOSEN CHURCH BY URUA OFFIONG ETUK.,100,153,True,27,39,25,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-010,"OPEN SPACE BY COMMUNITY CENTRE ALONG ASANG STREET, ADJACENT ASSEMBLIES OF GOD CHURCH, USUNG INYANG",183,638,True,31,88,48,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-011,"OPEN SPACE IN FRONT OF AKS WATER COMPANY, OPPOSITE ST. GREGORY PRIMARY SCH. ALONG ST.GREGORY ROAD, USUNG INYANG",190,668,True,22,101,51,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-012,"OPEN SPACE SILENT ZONE JUNCTION BY MARKET ROAD, USUNG INYANG.",194,594,True,23,97,61,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-017,"VILLAGE HALL, OKUKWOT, ADJACENT FOURSQUARE GOSPEL CHURCH BY ETEBI STREET.",47,88,True,4,28,14,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-018,"MARKET SQUARE AFFIONG ETUK, OPPOSITE QUA IBOE CHURCH IDUA ROAD, ASSANG",169,598,True,20,108,29,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-019,"OPEN SPACE BY EBENEBE TOWN HALL, ALONG ASSANG RING ROAD.",94,148,True,6,52,18,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-020,"OPEN SPACE BY TOWN HALL ASSANG, ALONG ATABONG ROAD, ADJACENT QUA IBOE CHURCH.",179,625,True,20,108,314,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-021,"OPEN SPACE BY UBANG CRESCENT OFF ATABONG ROAD, ASSANG OPPOSITE AFFIONG ETUK MARKET SQUARE.",155,750,True,18,91,27,5,,
AKWA IBOM,EKET,URBAN 111,03-03-03-023,"VILLAGE HALL, IKOT EBIYAN ALONG BARRACKS ROAD BY DIVISIONAL LIBRARY.",31,59,True,4,15,12,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-025,"OPEN SPACE BY VILLAGE TRIANGLE, OPPOSITE ETEBI IDUNG AKPAISANG VILLAGE HALL, ALONG ETEBI STREET.",142,533,True,29,64,23,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-027,"GOVERNMENT PRIMARY SCH. IKOT EBOK, OPPOSITE AKS WATER COMPANY ALONG ST. GREGORY ROAD",251,750,True,49,115,63,0,,
AKWA IBOM,EKET,URBAN 111,03-03-03-028,OPEN SPACE BY CIVIC CENTRE BESIDE LIVING FAITH CHURCH ALONG LIVERPOOL ROAD,169,288,True,32,91,28,0,,
AKWA IBOM,IKONO,IKONO MIDDLE 1V,03-12-04-011,"OPEN SPACE NEAR VILLAGE HALL, ITAK IKOT AKAP",56,69,True,12,1,34,0,,
AKWA IBOM,ITU,EAST ITAM 1,03-16-03-007,"OPEN SPACE, BY COMMUNITY WATER TANK, ESA EKPO STREET, ODIOK ITAM",187,559,True,22,76,43,10,,
AKWA IBOM,ITU,EAST ITAM 1,03-16-03-008,"OPEN SPACE, NEAR VILLAGE HEAD COMP.  MBIABONG MAIN TOWN",225,653,True,55,52,58,20,,
AKWA IBOM,MBO,ENWANG 11,03-17-02-008,"OPEN SPACE AT DEEPER LIFE STR BY SEC SCH RD, EYO TRU UWAK JUNCTION, EYO EFAI",128,316,True,27,20,55,0,,
AKWA IBOM,MBO,ENWANG 11,03-17-02-009,"VILLAGE SQUARE, EYO ATAYO, OPPOSITE METHODIST CHURCH, UBOTUONG, ENWANG- IBAKA RD",43,91,True,17,4,18,0,,
AKWA IBOM,MBO,ENWANG 11,03-17-02-012,"OPEN SPACE IN FRONT OF SKILLS ACQUISITION CENTER OPPOSITE NEO PETROLEUM FILLING STATION, ENWANG RD, EYO- AMIN.",60,122,True,9,6,35,0,,
AKWA IBOM,OKOBO,OFFI 11,03-23-09-013,"VILLAGE HALL, IBOTONG OSU",67,81,True,11,28,18,0,,
AKWA IBOM,OKOBO,OKOPEDI 1,03-23-01-013,"VILLAGE SQUARE, MBOKONG",96,391,True,8,15,51,1,,
AKWA IBOM,ORON,ORON URBAN V111,03-25-08-014,"OPEN SPACE, #31 EKUNG STREET BY TRANSFORMER",78,330,True,23,25,19,0,,
AKWA IBOM,UYO,OKU 11,03-31-11-029,"OPEN SPACE, EBONG UMO ITONG JUNC BY NESON BUT/PRO SCH",54,97,True,6,33,13,0,,
